#t_ns(== cam0/data.csv),fx,fy,cx,cy
5073244279750,449.2647705078125,449.2647705078125,318.82309977213544,239.3213907877604
5073260948041,428.7291259765625,428.7291259765625,318.90126546223956,239.3442586263021
5073277616333,426.959228515625,426.959228515625,318.9056396484375,239.34444173177084
5073294284583,426.8718668619792,426.8718668619792,318.9047037760417,239.34844970703125
5073310952833,426.8311767578125,426.8311767578125,318.9084065755208,239.3477579752604
5073327620958,426.8122965494792,426.8122965494792,318.90712483723956,239.34906005859375
5073344289208,426.7904459635417,426.7904459635417,318.90688069661456,239.3541259765625
5073360957500,426.8480224609375,426.8480224609375,318.92401123046875,239.34808349609375
5073377625750,430.9346923828125,430.9346923828125,318.9767252604167,239.3512166341146
5073394293958,435.1256103515625,435.1256103515625,319.00343831380206,239.35286458333334
5073410962083,435.0948486328125,435.0948486328125,319.0354410807292,239.37371826171875
5073427630375,435.1038004557292,435.1038004557292,319.06528727213544,239.37646484375
5073444298625,435.130615234375,435.130615234375,319.1068115234375,239.38163248697916
5073460966916,435.133544921875,435.133544921875,319.16310628255206,239.3838094075521
5073477635166,435.1156819661458,435.1156819661458,319.2050374348958,239.4085489908854
5073494303458,435.1007893880208,435.1007893880208,319.2601318359375,239.41168212890625
5073510971583,435.0988362630208,435.0988362630208,319.314453125,239.415771484375
5073527639833,435.104736328125,435.104736328125,319.37725830078125,239.4341837565104
5073544308125,435.1107584635417,435.1107584635417,319.4497477213542,239.4334920247396
5073560976333,435.1087239583333,435.1087239583333,319.5074055989583,239.44903564453125
5073577644625,435.1196695963542,435.1196695963542,319.5728352864583,239.46435546875
5073594312875,449.7064615885417,449.7064615885417,319.65533447265625,239.48199462890625
5073610981000,454.7986246744792,454.7986246744792,319.7197265625,239.48421223958334
5073627649291,454.6953938802083,454.6953938802083,319.79575602213544,239.5001424153646
5073644317541,454.642822265625,454.642822265625,319.8707682291667,239.50921630859375
5073660985791,454.6348876953125,454.6348876953125,319.93947347005206,239.53377278645834
5073677654083,454.6259765625,454.6259765625,320.01523844401044,239.54581705729166
5073694322208,454.6170247395833,454.6170247395833,320.0869954427083,239.5492146809896
5073710990416,454.6170247395833,454.6170247395833,320.16249593098956,239.56217447916666
5073727658708,454.6507568359375,454.6507568359375,320.23675537109375,239.57499186197916
5073744327000,454.6606852213542,454.6606852213542,320.2983805338542,239.59187825520834
5073760995166,454.6368408203125,454.6368408203125,320.36391194661456,239.5948486328125
5073777663541,454.6219889322917,454.6219889322917,320.44126383463544,239.6100870768229
5073794331666,454.6189778645833,454.6189778645833,320.5052490234375,239.63118489583334
5073810999916,454.6199951171875,454.6199951171875,320.55824788411456,239.63273111979166
5073827668208,454.6418050130208,454.6418050130208,320.61521402994794,239.6489461263021
5073844336500,454.6507568359375,454.6507568359375,320.6673990885417,239.65557861328125
5073861004708,454.6507568359375,454.6507568359375,320.71872965494794,239.673583984375
5073877673000,454.642822265625,454.642822265625,320.77492268880206,239.67486572265625
5073894341125,454.4700927734375,454.4700927734375,320.8258463541667,239.6826171875
5073911009416,454.4264322916667,454.4264322916667,320.8733723958333,239.69205729166666
5073927677708,454.4264322916667,454.4264322916667,320.9083658854167,239.70247395833334
5073944345958,454.4234619140625,454.4234619140625,320.9517008463542,239.72076416015625
5073961014208,454.4224446614583,454.4224446614583,320.9913736979167,239.71915690104166
5073977682333,454.4055582682292,454.4055582682292,321.0287272135417,239.7318318684896
5073994350625,454.41748046875,454.41748046875,321.0574951171875,239.73028564453125
5074011018833,454.4194742838542,454.4194742838542,321.0867106119792,239.74886067708334
5074027687166,454.4194742838542,454.4194742838542,321.11130777994794,239.7399698893229
5074044355416,454.4026285807292,454.4026285807292,321.13665771484375,239.7446492513021
5074061023708,454.4075520833333,454.4075520833333,321.1608479817708,239.7590128580729
5074077691791,454.4135335286458,454.4135335286458,321.1780192057292,239.7639363606771
5074094360083,454.4026285807292,454.4026285807292,321.200927734375,239.7686564127604
5074111028375,454.41650390625,454.41650390625,321.21225992838544,239.7635498046875
5074127696625,454.4363606770833,454.4363606770833,321.2288818359375,239.78059895833334
5074144364916,454.4403076171875,454.4403076171875,321.242431640625,239.77388509114584
5074161033166,454.2943929036458,454.2943929036458,321.24285888671875,239.78487141927084
5074177701333,454.2437744140625,454.2437744140625,321.2511800130208,239.7824910481771
5074194369541,454.2289225260417,454.2289225260417,321.25612386067706,239.7801717122396
5074211037875,454.2546793619792,454.2546793619792,321.2697347005208,239.7813720703125
5074227706125,454.2705485026042,454.2705485026042,321.2718912760417,239.7758992513021
5074244374375,454.2408040364583,454.2408040364583,321.27158610026044,239.7762247721354
5074261042541,454.2248942057292,454.2248942057292,321.2738037109375,239.77960205078125
5074277710791,454.2119954427083,454.2119954427083,321.2697347005208,239.779296875
5074294379083,454.1137288411458,454.1137288411458,321.26930745442706,239.78055826822916
5074311047333,454.0958658854167,454.0958658854167,321.26495361328125,239.77410888671875
5074327715625,454.0899251302083,454.0899251302083,321.2725016276042,239.76959228515625
5074344383875,454.0442301432292,454.0442301432292,321.2770589192708,239.7523193359375
5074361052000,454.0333251953125,454.0333251953125,321.28212483723956,239.7559814453125
5074377720291,454.0472412109375,454.0472412109375,321.2605794270833,239.76123046875
5074394388541,454.0601399739583,454.0601399739583,321.2587483723958,239.75823974609375
5074411056833,454.0918782552083,454.0918782552083,321.25498453776044,239.76239013671875
5074427725083,454.0968424479167,454.0968424479167,321.23681640625,239.75980631510416
5074461061500,453.8774820963542,453.8774820963542,321.2371012369792,239.74774169921875
5074477729791,453.8338216145833,453.8338216145833,321.2288004557292,239.74357096354166
5074494398000,453.8844401041667,453.8844401041667,321.223876953125,239.7495320638021
5074511066291,453.90234375,453.90234375,321.2139892578125,239.7483927408854
5074527734583,453.8685302734375,453.8685302734375,321.2130940755208,239.74125162760416
5074544402708,453.845703125,453.845703125,321.2078450520833,239.7276407877604
5074561071000,453.6888834635417,453.6888834635417,321.21742757161456,239.72627766927084
5074577739250,453.6531575520833,453.6531575520833,321.20458984375,239.7267049153646
5074594407500,453.6849365234375,453.6849365234375,321.19301350911456,239.7202351888021
5074611075750,453.6997884114583,453.6997884114583,321.18609619140625,239.7264607747396
5074627744041,453.6839192708333,453.6839192708333,321.1848958333333,239.72320556640625
5074644412208,453.677978515625,453.677978515625,321.184326171875,239.72123209635416
5074661080458,453.6730143229167,453.6730143229167,321.17673746744794,239.7257080078125
5074677748750,453.6739908854167,453.6739908854167,321.1818440755208,239.72432454427084
5074694416958,453.6739908854167,453.6739908854167,321.17531331380206,239.70184326171875
5074711085208,453.6561279296875,453.6561279296875,321.1668294270833,239.703369140625
5074727753500,453.662109375,453.662109375,321.1652018229167,239.7072550455729
5074744421625,453.6630859375,453.6630859375,321.15903727213544,239.70574951171875
5074761089916,453.6739908854167,453.6739908854167,321.1565348307292,239.70684814453125
